pipeline_version,input_sha256,molecule_id,preferred_name,software,software_version,method,charge,multiplicity,status,returncode,hessian_returncode,runtime_seconds,started_at,finished_at,input_path,output_path,geometry_path,file_hash,stderr_tail,electronic_energy_Eh,homo_eV,lumo_eV,homo_lumo_gap_eV,dipole_debye,isotropic_polarizability_au,molecular_c6_au,zero_point_energy_Eh,total_free_energy_Eh,imaginary_frequencies,min_frequency_cm1,normal_termination,optimization_converged,chemical_hardness_eV,chemical_potential_eV,electronegativity_eV,electrophilicity_eV,temperature_K,enthalpy_Eh,entropy_term_Eh,gibbs_free_energy_Eh
2.2,54d08833ea245bf40c57634c131e7cdb5c6083966b85272b61b69f68e6fa3d8a,1,D-glucose,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.9121454999994967,2026-09-16T22:11:27.296251+00:00,2026-09-16T22:11:28.232976+00:00,outputs\notebook_complete\quantum\xtb\molecule_0001\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0001\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0001\opt\xtbopt.xyz,54d08833ea245bf40c57634c131e7cdb5c6083966b85272b61b69f68e6fa3d8a,"   6 C    8 O           7     1.4029242     1.4195958     1.3874423


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -43.362941699021 Eh   |
          | GRADIENT NORM               0.000388252417 Eh/α |
          | HOMO-LUMO GAP              10.468721897187 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:11:27.567     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.202 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.688 sec
 * ratio c/w:     3.403 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.011 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.062 sec
 * ratio c/w:     5.682 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.164 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.562 sec
 * ratio c/w:     3.430 speedup


normal termination of xtb",-43.36294169902,-11.3445,-0.8757,10.4688,4.042,98.324571,4718.295463,0.18813112533,-43.21305976342,0,-0.0,True,False,5.2344,-6.1101,6.1101,3.566151040233838,298.15,0.201988,0.0521058,0.149882
2.2,88fa5a26f92a1d0e634a307020ea9abc0646da18f2084cf0d8b42e7755df18fb,2,D-xylose,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.631875899998704,2026-09-16T22:40:19.580055+00:00,2026-09-16T22:40:20.238688+00:00,outputs\notebook_complete\quantum\xtb\molecule_0002\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0002\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0002\opt\xtbopt.xyz,88fa5a26f92a1d0e634a307020ea9abc0646da18f2084cf0d8b42e7755df18fb,"   6 C    8 O           6     1.4022815     1.4084943     1.3891830


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -36.136475332948 Eh   |
          | GRADIENT NORM               0.000156738659 Eh/α |
          | HOMO-LUMO GAP              10.663770762690 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:19.780     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.142 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.469 sec
 * ratio c/w:     3.301 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.012 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.047 sec
 * ratio c/w:     3.906 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.082 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.312 sec
 * ratio c/w:     3.811 speedup


normal termination of xtb",-36.136475332947,-11.223,-0.5592,10.6638,-1.576,81.9847,3279.441871,0.156553886761,-36.014888619702,0,-0.0,True,False,5.3319,-5.891100000000001,5.891100000000001,3.2544739408090932,298.15,0.167875,0.0462883,0.121587
2.2,933f8df867e272d984eabd6d105386cd46e32dec259b706e974bf12dd19574ae,3,5-hydroxymethylfurfural,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.6747739000002184,2026-09-16T22:40:20.366915+00:00,2026-09-16T22:40:21.059265+00:00,outputs\notebook_complete\quantum\xtb\molecule_0003\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0003\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0003\opt\xtbopt.xyz,933f8df867e272d984eabd6d105386cd46e32dec259b706e974bf12dd19574ae,"   6 C    8 O           4     1.3284407     1.4074223     1.2064779


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -28.064630641700 Eh   |
          | GRADIENT NORM               0.000328624518 Eh/α |
          | HOMO-LUMO GAP               3.027580545125 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:20.716     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.196 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.641 sec
 * ratio c/w:     3.268 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.019 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.109 sec
 * ratio c/w:     5.757 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.153 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.484 sec
 * ratio c/w:     3.166 speedup


normal termination of xtb",-28.0646306417,-11.1961,-8.1685,3.0275999999999996,7.451,79.649464,2676.457689,0.108123522233,-27.990291727202,0,-0.0,True,False,1.5137999999999998,-9.6823,9.6823,30.96410797000925,298.15,0.117603,0.0432639,0.0743389
2.2,475b901a31fd18775b6ec521037356a988516db9f1fab03d00e7b280291a2ef7,4,levulinic acid,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.617906800000128,2026-09-16T22:40:21.165679+00:00,2026-09-16T22:40:21.803186+00:00,outputs\notebook_complete\quantum\xtb\molecule_0004\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0004\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0004\opt\xtbopt.xyz,475b901a31fd18775b6ec521037356a988516db9f1fab03d00e7b280291a2ef7,"   6 C    8 O           3     1.2477060     1.3371146     1.2018603


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -26.986926703697 Eh   |
          | GRADIENT NORM               0.000219223223 Eh/α |
          | HOMO-LUMO GAP               4.092092679410 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:21.492     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.165 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.625 sec
 * ratio c/w:     3.788 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.008 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.000 sec
 * ratio c/w:     0.000 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.132 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.547 sec
 * ratio c/w:     4.143 speedup


normal termination of xtb",-26.986926703699,-10.8002,-6.7081,4.0921,-5.315,70.974924,2304.103773,0.124400094553,-26.896800826263,0,-0.0,True,False,2.04605,-8.75415,8.75415,18.72758295801666,298.15,0.134395,0.0442695,0.0901259
2.2,58add8cbe88faaf620e7be623bda1d4aa1a07c6b770ad1297e0bd96d374885eb,5,sorbitol,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,1.1126086000003852,2026-09-16T22:40:21.957853+00:00,2026-09-16T22:40:23.093419+00:00,outputs\notebook_complete\quantum\xtb\molecule_0005\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0005\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0005\opt\xtbopt.xyz,58add8cbe88faaf620e7be623bda1d4aa1a07c6b770ad1297e0bd96d374885eb,"   6 C    8 O           6     1.4095996     1.4159608     1.4014346


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -44.363046758795 Eh   |
          | GRADIENT NORM               0.000166042035 Eh/α |
          | HOMO-LUMO GAP              10.604006301224 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:22.304     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.221 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.781 sec
 * ratio c/w:     3.535 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.030 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.062 sec
 * ratio c/w:     2.083 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.144 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.547 sec
 * ratio c/w:     3.798 speedup


normal termination of xtb",-44.363046758795,-10.9469,-0.3429,10.604,-0.42,102.93422,5141.292697,0.208793513946,-44.19493813717,0,-0.0,True,False,5.302,-5.6449,5.6449,3.00498830724255,298.15,0.224315,0.0562061,0.168109
2.2,e20fa29eb9a85157d9530dd3e3605dc1a1f7b5181fed5a83932e29fffa607ecd,6,furfural,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.49388309999994817,2026-09-16T22:40:23.190619+00:00,2026-09-16T22:40:23.744036+00:00,outputs\notebook_complete\quantum\xtb\molecule_0006\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0006\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0006\opt\xtbopt.xyz,e20fa29eb9a85157d9530dd3e3605dc1a1f7b5181fed5a83932e29fffa607ecd,"   6 C    8 O           3     1.2979731     1.3562568     1.2064188


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -20.838424274377 Eh   |
          | GRADIENT NORM               0.000241554122 Eh/α |
          | HOMO-LUMO GAP               3.050182456706 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:23.440     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.101 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.328 sec
 * ratio c/w:     3.249 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.020 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.016 sec
 * ratio c/w:     0.781 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.059 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.203 sec
 * ratio c/w:     3.443 speedup


normal termination of xtb",-20.838424274377,-11.1335,-8.0833,3.0502000000000002,3.381,63.390013,1630.729546,0.076852156432,-20.791178095044,0,-0.0,True,False,1.5251000000000001,-9.6084,9.6084,30.26731052390007,298.15,0.083517,0.0362708,0.0472462
2.2,b6abf3bd7e133823b268252fde9ef00824d34678cb460200cd3bd3d74a26fe63,7,furfuryl alcohol,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.5909176000004663,2026-09-16T22:40:23.904356+00:00,2026-09-16T22:40:24.512992+00:00,outputs\notebook_complete\quantum\xtb\molecule_0007\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0007\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0007\opt\xtbopt.xyz,b6abf3bd7e133823b268252fde9ef00824d34678cb460200cd3bd3d74a26fe63,"   6 C    8 O           3     1.3696840     1.4113052     1.3436387


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -21.871254929259 Eh   |
          | GRADIENT NORM               0.000100424611 Eh/α |
          | HOMO-LUMO GAP               4.753497382632 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:24.159     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.144 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.547 sec
 * ratio c/w:     3.798 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.005 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.000 sec
 * ratio c/w:     0.000 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.085 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.375 sec
 * ratio c/w:     4.412 speedup


normal termination of xtb",-21.871254929257,-10.7097,-5.9562,4.7535,3.612,66.212249,1828.739354,0.099684976541,-21.802117604553,0,-0.0,True,False,2.37675,-8.33295,8.33295,14.6077744193752,298.15,0.107075,0.037938,0.0691373
2.2,61943b9450c5feb23f5280ddc68113a466357e4640d4267b991a43417a0cbd6d,8,2-methylfuran,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.49876150000091,2026-09-16T22:40:24.678914+00:00,2026-09-16T22:40:25.194018+00:00,outputs\notebook_complete\quantum\xtb\molecule_0008\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0008\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0008\opt\xtbopt.xyz,61943b9450c5feb23f5280ddc68113a466357e4640d4267b991a43417a0cbd6d,"   6 C    8 O           2     1.3483875     1.3510130     1.3457619


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -17.816401133275 Eh   |
          | GRADIENT NORM               0.000077531442 Eh/α |
          | HOMO-LUMO GAP               4.763284053542 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:24.948     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.099 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.297 sec
 * ratio c/w:     2.999 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.005 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.031 sec
 * ratio c/w:     6.250 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.070 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.203 sec
 * ratio c/w:     2.902 speedup


normal termination of xtb",-17.816401133275,-10.2766,-5.5133,4.7633,-0.187,61.4616,1535.524217,0.095505113324,-17.749933693088,0,-0.0,True,False,2.38165,-7.89495,7.89495,13.085515399512941,298.15,0.101995,0.0355279,0.0664674
2.2,18ca757eb4f4f11d049c4c2ca74a861c0d801441b1fef86d6b936e5d7d970be7,9,phenol,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.9640570999999909,2026-09-16T22:40:25.268342+00:00,2026-09-16T22:40:26.248682+00:00,outputs\notebook_complete\quantum\xtb\molecule_0009\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0009\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0009\opt\xtbopt.xyz,18ca757eb4f4f11d049c4c2ca74a861c0d801441b1fef86d6b936e5d7d970be7,"   6 C    8 O           1     1.3613582     1.3613582     1.3613582


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -19.954146323170 Eh   |
          | GRADIENT NORM               0.000060591238 Eh/α |
          | HOMO-LUMO GAP               4.352141837448 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:25.529     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.094 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.281 sec
 * ratio c/w:     2.992 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.005 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.000 sec
 * ratio c/w:     0.000 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.023 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.125 sec
 * ratio c/w:     5.435 speedup


normal termination of xtb",-19.95414632317,-10.4277,-6.0755,4.3522,0.77,72.308594,2046.285788,0.101331662396,-19.881854567719,0,-0.0,True,False,2.1761,-8.2516,8.2516,15.644709011534395,298.15,0.107921,0.035629,0.0722918
2.2,6fed79fe003d94c5e5ba0d514a1042ffbd83c034870707a574c494cd9a93ac13,10,guaiacol,xTB,* xtb version 6.7.1pre (5071a88) compiled by 'Marcel@Raven' on 2024-07-23,GFN2-xTB,0,1,completed,0,0,0.5140077000014571,2026-09-16T22:40:26.323917+00:00,2026-09-16T22:40:26.850677+00:00,outputs\notebook_complete\quantum\xtb\molecule_0010\opt\input.xyz,outputs\notebook_complete\quantum\xtb\molecule_0010\opt\xtb_opt.out,outputs\notebook_complete\quantum\xtb\molecule_0010\opt\xtbopt.xyz,6fed79fe003d94c5e5ba0d514a1042ffbd83c034870707a574c494cd9a93ac13,"   6 C    8 O           3     1.3809668     1.4045696     1.3590954


optimized geometry written to: xtbopt.xyz


           -------------------------------------------------
          | TOTAL ENERGY              -27.187138220283 Eh   |
          | GRADIENT NORM               0.000146169052 Eh/α |
          | HOMO-LUMO GAP               4.167685595511 eV   |
           -------------------------------------------------

------------------------------------------------------------------------
 * finished run on 2026/09/17 at 00:40:26.490     
------------------------------------------------------------------------
 total:
 * wall-time:     0 d,  0 h,  0 min,  0.067 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.250 sec
 * ratio c/w:     3.731 speedup
 SCF:
 * wall-time:     0 d,  0 h,  0 min,  0.007 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.000 sec
 * ratio c/w:     0.000 speedup
 ANC optimizer:
 * wall-time:     0 d,  0 h,  0 min,  0.038 sec
 *  cpu-time:     0 d,  0 h,  0 min,  0.172 sec
 * ratio c/w:     4.523 speedup


normal termination of xtb",-27.187138220281,-10.0728,-5.9051,4.167700000000001,-0.248,88.785848,3212.338561,0.132823979551,-27.086958014499,0,-0.0,True,False,2.0838500000000004,-7.988950000000001,7.988950000000001,15.313799482328383,298.15,0.14201,0.0418298,0.10018
